date,temperature,humidity,irradiance,rainfall,DHI,DNI,PV_current,plant_current,plant_voltage,plant_power,defect
2020-01-01,27.000786041836115,59.787379841057394,588.2026172983832,9.481786398402916,486.75579901499674,353.40831801853835,11.900176835051179,48.48642791702302,494.8390574103221,202052.99250969186,1
2020-01-02,32.27136753481488,57.610377251469934,507.2021785580439,5.243350032985656,344.3863232745426,550.05114910614,12.988158146315213,47.94841736234199,515.653385082545,195729.52130349138,0
2020-01-03,28.268092977201803,58.64436198859506,372.35050920829605,3.5156699591871163,526.9754623987608,281.84514881018526,10.091517034602893,48.128161499741665,576.6389607179228,207346.79384950144,1
2020-01-04,26.890812598010868,41.12214252369887,507.7473712848458,1.038407063552146,265.2087850673847,523.452345365597,12.460581361455441,62.02379848784411,480.6336591296024,198488.48624712334,1
2020-01-05,17.899910314105124,32.937298093749874,447.5723517466454,8.90155079046358,249.03478182483465,434.28885475832203,7.494409279900148,57.7749035583191,419.3051076221024,198936.29859893015,1
2020-01-06,26.93451248929631,44.89194862431127,455.22667194031624,2.638735631755176,297.1817771661345,564.2497805795626,10.133034444766336,53.02471897739781,468.28389531595184,198186.2941700643,1
2020-01-07,23.202234192297293,41.86853717955546,466.37697761120245,1.5474347953366463,317.7426142253753,439.7328595687607,6.739603306067911,54.627822555257744,454.6350817808379,200259.7269789807,1
2020-01-08,25.644914553787054,61.394006845433005,536.4545281088768,2.5303483592926947,340.2341641177549,397.27848635895305,8.258405701636237,44.21150335235585,484.42237339363135,200280.82671114872,1
2020-01-09,29.504132434770938,54.6566243973046,441.7425079608322,1.9275126274455525,448.82521937955994,784.3833764045875,12.357559142319301,48.200751641876494,446.46236892447286,205272.25863465568,1
2020-01-10,31.112225351912137,52.0827497807686,479.841152651341,6.953278072967425,335.6366397174402,605.9859752287922,10.02100004144164,67.85870493905836,506.345604635181,202009.9468172235,0
2020-01-11,18.26120469428777,37.29515001514267,594.1575348528127,6.938793416316022,182.68765948858402,791.543177847394,9.172762038480505,42.525451885592425,596.1471013240192,207402.57395717214,1
2020-01-12,29.530223291376927,41.38774314945297,593.3779480213285,8.820129906198067,273.19966290486195,620.3684593694593,11.894503935547496,48.44989906909166,530.703968517304,204611.03335783264,1
2020-01-13,19.502996047079026,52.98238174206056,518.8212765577815,7.652771793374061,230.54321402686344,477.5548189508494,9.129692896556724,68.49263728479342,533.6147378506217,202037.30918120555,1
2020-01-14,27.696245956459087,43.25667339342624,461.5041962777342,5.063661116548702,236.4153921621119,601.464994241975,11.153181633229881,47.91701244422005,519.8003356330822,194534.69245634746,1
2020-01-15,27.196958506322684,51.66673495372529,425.4371203647197,6.270062873784212,538.3144774863943,641.6719230485621,8.174355549111683,61.17016288095853,434.20462947442394,197692.07697592647,1
