datetime,temperature,humidity,rainfall,DHI,DNI,pv_current,plant_current,plant_voltage,power,sunshine_duration,atmospheric_clarity,panel_orientation,albedo,age,maintenance,climate_change_effect,grid_integration,defect
2020-01-01 00:00:00,24.737536132065397,62.00935011275618,0,83.4424251900541,413.1125931344566,8.146209646016754,66.82534388350467,323.4297027096096,2634.726164021353,0.0,0.8316317311763834,South,0.40868216136817564,16,Average,Moderate,Isolated,0
2020-01-01 01:00:00,31.203277996699416,60.1865479777789,0,61.02364260941144,215.25320015629072,7.359821461763987,81.25211742773982,372.9678957466867,2744.977123665418,0.0,0.7312742633101554,South,0.3194411117223549,16,Good,Moderate,Integrated,0
2020-01-01 02:00:00,22.50161839041901,47.2089099568882,0,86.43102344752828,387.8355111271992,4.37613830139064,79.3927370849726,642.2197493306619,2810.442442955405,0.0,0.8288833695754609,South,0.27551052362993417,9,Average,None,Integrated,0
2020-01-01 03:00:00,20.36671016381559,55.43572725005134,0,95.62654739128442,331.00244032558595,9.619490980726543,67.13834409532451,320.0237897093072,3078.4659587266083,0.0,0.8264033050619307,South,0.2698211529106438,7,Average,None,Integrated,0
2020-01-01 04:00:00,30.09867048606832,55.32431489201874,0,56.11758557383831,104.86952797617462,10.869421946819092,92.4949142776861,567.5289701362872,6168.711843454997,0.0,0.7649842597636264,South,0.3210377936100088,19,Good,None,Integrated,0
2020-01-01 05:00:00,21.300947729807486,61.9271335220359,0,85.1717176017786,347.8260125440273,7.244451683193481,68.42874506896503,415.95253871356533,3013.34806921209,0.0,0.8459743314150467,South,0.3425376228713488,20,Average,None,Isolated,0
2020-01-01 06:00:00,14.739435500620752,54.79309670524913,0,67.06126350529402,386.21420929685274,10.687536296049338,75.49324901696663,325.80630737100614,3482.066735509435,0.0,0.8685431337957049,East,0.2851880085697317,19,Average,None,Integrated,0
2020-01-01 07:00:00,32.80284625295961,55.23331531362101,0,101.1060157964605,395.1661977860565,8.792798888655136,67.32047150622259,259.05392833596636,2277.809093174232,3.105828541230249,0.8413374945866288,South,0.3422078312619788,17,Average,None,Integrated,0
2020-01-01 08:00:00,30.029558685314534,68.44918210257795,0,90.25010027247933,88.08472216973996,9.656991447606735,72.67860477494641,381.58739577597754,3684.9862175231415,5.999999999999999,0.7616557585679435,South,0.38751740782898914,10,Average,None,Integrated,0
2020-01-01 09:00:00,23.095207115324133,48.50439720675212,0,54.547176165116596,202.49478358394128,7.321369350228924,90.14569523308501,554.968484822569,4063.1292551229426,8.485281374238571,0.8632954731409936,South,0.28925262349512637,14,Poor,None,Integrated,1
